Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Provision for Loan Losses;Net Revenue after Provisions;Total Non-Interest Expense;Operating Income (Loss);Non-Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AMTB;10656428;USD;2020;FY;2020-12-31;2021-03-19;2023-03-01;41737216;41737216;263022000;-88620000;174402000;-178736000;-4334000;;-4334000;2612000;-1722000;;-1722000;-1722000
AMTB;10656428;USD;2021;FY;2021-12-31;2022-03-04;2024-03-07;37169283;37527523;325762000;16500000;342262000;-198242000;144020000;;144020000;-33709000;110311000;;112921000;112921000
ARI;498489;USD;2020;FY;2020-12-31;2021-02-10;2023-02-08;148004385;148004385;114932000;;114932000;-26849000;88083000;;18377000;;18377000;;18377000;4837000
ARI;498489;USD;2021;FY;2021-12-31;2022-02-08;2024-02-06;139891777;170884172;264177000;;264177000;-51413000;212764000;;223515000;;223515000;;223515000;210551000
ARI;498489;USD;2022;FY;2022-12-31;2023-02-08;2025-02-10;140534635;165504660;253182000;;253182000;-50578000;202604000;;265232000;;265232000;;265232000;252960000
AROW;7962934;USD;2020;FY;2020-12-31;2021-03-10;2023-07-18;17928173;17944403;131860000;-9319000;122541000;-70678000;51863000;;51863000;-11036000;40827000;;40827000;40827000
ASB;1234037;USD;2020;FY;2020-12-31;2021-02-09;2023-02-13;153005000;153642000;1269566000;-174006000;1095560000;-731385000;364175000;;326974000;-20200000;306774000;;306774000;288416000
ASB;1234037;USD;2021;FY;2021-12-31;2022-02-08;2024-02-08;153005000;153642000;1058219000;88011000;1146230000;-709923000;436307000;;436307000;-85313000;350994000;;350994000;333883000
ATLO;9075938;USD;2020;FY;2020-12-31;2021-03-12;2022-03-11;9148244;9148244;65463000;-5681000;59782000;-36551000;23231000;;23231000;-4381000;18850000;;18850000;18850000
ATLO;9075938;USD;2021;FY;2021-12-31;2022-03-11;2023-03-10;9114379;9114379;66534000;757000;67291000;-36618000;30673000;;30673000;-6760000;23913000;;23913000;23913000
ATLO;9075938;USD;2022;FY;2022-12-31;2023-03-10;2024-03-08;9127099;9127099;62931000;874000;63805000;-38644000;25161000;;25161000;-5868000;19293000;;19293000;19293000
ATLO;9075938;USD;2023;FY;2023-12-31;2024-03-08;2025-03-12;8992167;8992167;53840000;-789000;53051000;-40162000;12889000;;12889000;-2072000;10817000;;10817000;10817000
AUB;10384197;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;78858726;78875668;686784000;-87141000;599643000;-382233000;217410000;;186294000;-28066000;158228000;;158228000;152570000
AUB;10384197;USD;2021;FY;2021-12-31;2022-02-25;2024-02-22;77399902;77417801;677066000;60888000;737954000;-404500000;333454000;;318759000;-54842000;263917000;;263917000;252049000
AUB;10384197;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;74949109;74953398;702784000;-19028000;683756000;-403802000;279954000;;279954000;-45444000;234510000;;234510000;222642000
AUB;10384197;USD;2023;FY;2023-12-31;2024-02-22;2026-02-26;74961390;74962363;701890000;-31618000;670272000;-427376000;242896000;;239901000;-38083000;201818000;;201818000;189950000
AUB;10384197;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;86149978;87909237;817417000;-50089000;767328000;-467516000;299812000;;259794000;-50663000;209131000;;209131000;197263000
AX;6767487;USD;2021;FY;2021-06-30;2021-08-26;2023-08-29;59229495;60519611;644003000;-23750000;620253000;-314510000;305743000;;305743000;-90036000;215707000;;215707000;215707000
AX;6767487;USD;2022;FY;2022-06-30;2022-09-08;2024-08-22;59523626;60610954;720521000;-23750000;696771000;-356812000;339959000;;339959000;-99243000;240716000;;240716000;240716000
AXP;413080;USD;2020;FY;2020-12-31;2021-02-12;2023-02-10;805000000;806000000;36087000000;-4730000000;31357000000;-27061000000;4296000000;;4296000000;-1161000000;3135000000;;3135000000;3135000000
AXP;413080;USD;2021;FY;2021-12-31;2022-02-11;2024-02-09;768000000;769000000;42380000000;1419000000;43799000000;-33110000000;10689000000;;10689000000;-2629000000;8060000000;;8060000000;8060000000
AXP;413080;USD;2022;FY;2022-12-31;2023-02-10;2025-02-07;789000000;790000000;52862000000;-2141000000;50721000000;-41136000000;9585000000;;9585000000;-2071000000;7514000000;;7514000000;7514000000
