ticker,revenue_usd,employees,sector,industry,market_cap,fetch_error
SRE,13552000000,15938,Utilities,Utilities - Diversified,54496051200,
NOW,14732000256,29187,Technology,Software - Application,137017729024,
SHW,24410300416,64249,Basic Materials,Specialty Chemicals,78486134784,
SPG,6940724224,3100,Real Estate,REIT - Retail,77758283776,
SWKS,4014099968,10000,Technology,Semiconductors,13294270464,
SJM,9156899840,,Consumer Defensive,Packaged Foods,12940560384,
SW,31325999104,96000,Consumer Cyclical,Packaging & Containers,22669881344,
SNA,5274899968,13000,Industrials,Tools & Accessories,19420432384,
SOLV,8310000128,20584,Healthcare,Medical Instruments & Supplies,14886064128,
SO,30179000320,29502,Utilities,Utilities - Regulated Electric,100277141504,
LUV,30072999936,73456,Industrials,Airlines,19196530688,
SWK,15247699968,41000,Industrials,Tools & Accessories,13476724736,
SBUX,38338301952,381000,Consumer Cyclical,Restaurants,112563601408,
STT,15022999552,51503,Financial Services,Asset Management,53127319552,
STLD,20538677248,14400,Basic Materials,Steel,34368643072,
STE,6037499904,17937,Healthcare,Medical Devices,20549122048,
SYK,25837000704,56000,Healthcare,Medical Devices,105697386496,
SMCI,39063072768,7000,Technology,Computer Hardware,26344310784,
SYF,9907999744,20000,Financial Services,Credit Services,24724930560,
SNPS,9416465408,28000,Technology,Software - Infrastructure,76152569856,
SYY,84552998912,75000,Consumer Defensive,Food Distribution,39865577472,
TMUS,92188999680,75000,Communication Services,Telecom Services,195580215296,
TROW,7592000000,7544,Financial Services,Asset Management,22673342464,
TTWO,6686499840,12909,Communication Services,Electronic Gaming & Multimedia,40288677888,
TPR,8004199936,12600,Consumer Cyclical,Luxury Goods,23625920512,
TRGP,16741499904,3570,Energy,Oil & Gas Midstream,62238605312,
TGT,107704999936,400000,Consumer Defensive,Discount Stores,70793060352,
TEL,19321999360,90000,Technology,Electronic Components,61365223424,
TDY,6374400000,15800,Technology,Scientific & Technical Instruments,27989090304,
TER,4464031232,6600,Technology,Semiconductor Equipment & Materials,59365711872,
TSLA,103619002368,134785,Consumer Cyclical,Auto Manufacturers,1443322658816,
TXN,19452999680,33000,Technology,Semiconductors,245389656064,
TPL,897540992,114,Energy,Oil & Gas E&P,25458554880,
TXT,15299000320,34000,Industrials,Aerospace & Defense,13930939392,
TMO,46336000000,125000,Healthcare,Diagnostics & Research,225479294976,
TJX,62363000832,377000,Consumer Cyclical,Apparel Retail,138618716160,
TKO,5301862912,4000,Communication Services,Entertainment,36019916800,
TTD,2990138112,3843,Communication Services,Advertising Agencies,6738081792,
TSCO,15750723584,54000,Consumer Cyclical,Specialty Retail,17199534080,
TT,22209900544,44000,Industrials,Building Products & Equipment,97364656128,
TDG,10005999616,16500,Industrials,Aerospace & Defense,63032922112,
TRV,48979001344,34000,Financial Services,Insurance - Property & Casualty,78257348608,
TRMB,3782899968,11500,Technology,Scientific & Technical Instruments,13445149696,
TFC,19028000768,37849,Financial Services,Banks - Regional,61569966080,
TYL,2429657088,7879,Technology,Software - Application,13787402240,
TSN,55694000128,133000,Consumer Defensive,Farm Products,18638444544,
USB,27320999936,70000,Financial Services,Banks - Regional,97907957760,
UBER,55226998784,36600,Technology,Software - Application,146390286336,
UDR,1766329984,1420,Real Estate,REIT - Residential,12901830656,
ULTA,12955516928,21382,Consumer Cyclical,Specialty Retail,23378931712,
UNP,25410000896,28716,Industrials,Railroads,168955068416,
UAL,62902001664,117500,Industrials,Airlines,35644248064,
UPS,89929998336,460000,Industrials,Integrated Freight & Logistics,85316378624,
URI,16832000000,28500,Industrials,Rental & Leasing Services,61565288448,
UNH,450525986816,390000,Healthcare,Healthcare Plans,340269203456,
UHS,18114486272,102000,Healthcare,Medical Care Facilities,10303870976,
VLO,132429996032,9785,Energy,Oil & Gas Refining & Marketing,112412639232,
VEEV,3458097920,7928,Healthcare,Health Information Services,42484879360,
VTR,6418988032,542,Real Estate,REIT - Healthcare Facilities,46160044032,
VLTO,5696000000,17000,Industrials,Pollution & Treatment Controls,22940952576,
VRSN,1707900032,926,Technology,Software - Infrastructure,26460983296,
VRSK,3136000000,8000,Industrials,Consulting Services,22933489664,
VZ,138894999552,97600,Communication Services,Telecom Services,210273173504,
VRTX,12587200512,6400,Healthcare,Biotechnology,130643902464,
VRT,11479600128,34000,Industrials,Electrical Equipment & Parts,98965053440,
VTRS,14737300480,30000,Healthcare,Drug Manufacturers - Specialty & Generic,18963234816,
VICI,4097604096,28,Real Estate,REIT - Diversified,27339753472,
V,44487999488,34100,Financial Services,Credit Services,691647676416,
VST,19211999232,6390,Utilities,Utilities - Independent Power Producers,49801551872,
VMRK,3089946880,,Real Estate,REIT - Residential,50713485312,
VMC,8115800064,11548,Basic Materials,Building Materials,32749729792,
WRB,14896102400,8804,Financial Services,Insurance - Property & Casualty,25948805120,
GWW,18844999680,22100,Industrials,Industrial Distribution,60289208320,
WAB,11980000256,31000,Industrials,Railroads,47838928896,
WMT,735839977472,2100000,Consumer Defensive,Discount Stores,852708163584,
DIS,98860998656,175560,Communication Services,Entertainment,183978491904,
WBD,36115001344,35500,Communication Services,Entertainment,70300114944,
WM,25667000320,60500,Industrials,Waste Management,85323210752,
WAT,4644285952,16000,Healthcare,Diagnostics & Research,40093212672,
WEC,10137400320,7000,Utilities,Utilities - Regulated Electric,34321715200,
WFC,83026001920,197466,Financial Services,Banks - Diversified,273036886016,
WELL,12763214848,712,Real Estate,REIT - Healthcare Facilities,169781182464,
WST,3326799872,10800,Healthcare,Medical Instruments & Supplies,24366200832,
WDC,12919000064,40000,Technology,Computer Hardware,161226686464,
WY,6851999744,9500,Real Estate,REIT - Specialty,15899436032,
WSM,8005155840,19800,Consumer Cyclical,Specialty Retail,26645182464,
WMB,12323000320,5987,Energy,Oil & Gas Midstream,89107750912,
WTW,10101999616,48100,Financial Services,Insurance Brokers,29311309824,
WDAY,10154999808,20896,Technology,Software - Application,44753698816,
WYNN,7413425152,28500,Consumer Cyclical,Resorts & Casinos,9030809600,
XEL,14616000512,11534,Utilities,Utilities - Regulated Electric,47159889920,
XYL,9125999616,22000,Industrials,Specialty Industrial Machinery,24973750272,
YUM,8721999872,49000,Consumer Cyclical,Restaurants,38443573248,
ZBRA,5847000064,10700,Technology,Communication Equipment,16576235520,
ZBH,8508800000,17000,Healthcare,Medical Devices,17832067072,
ZTS,9525000192,14500,Healthcare,Drug Manufacturers - Specialty & Generic,30152927232,
