ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
APD,AIR PRODUCTS & CHEMICALS,AIR PRODUCTS & CHEMICALS,Chemicals,12600.0,23000.0,-110.0,96.0,-23.2,2.5,-13.0,2.0,-4.3,-0.8,10.6,-4.3,1.4,-2.5,0.1,GHG emissions 3.94M tons of GHG emissions,Societal infrastructure 14.9M long-haul train rides,https://uprightplatform.com/company/39fd1fa4-6267-40f6-9188-259f9a9bad2c/Air%20Products%20%26%20Chemicals/
AIZ,ASSURANT,ASSURANT,Insurance,12576.3,14200.0,27.0,44.0,-2.3,0.1,-1.1,0.1,-0.3,-1.1,8.8,-0.6,3.2,-4.9,0.1,Scarce human capital 10.1k scarce worker years,Societal infrastructure 14.1M long-haul train rides,https://uprightplatform.com/company/40abdac2-7c84-4f8b-8c64-f1d4e7948200/Assurant/
NSC,NORFOLK SOUTHERN RAILWAY,NORFOLK SOUTHERN RAILWAY,Transportation,12230.0,20300.0,-29.0,80.0,-27.4,5.3,-14.3,4.5,-5.6,-1.3,20.5,-3.3,1.0,-2.9,0.3,GHG emissions 4.19M tons of GHG emissions,Societal infrastructure 37.4M long-haul train rides,https://uprightplatform.com/company/64a4b7d8-0b79-4382-92bb-397f6182e72e/Norfolk%20Southern%20Railway/
DVA,DAVITA,DAVITA,Hospitals and Healthcare,,,68.0,6.0,-4.3,0.2,-1.3,,-0.5,-1.3,15.0,-3.2,23.8,-4.1,1.1,Scarce human capital 8.09k scarce worker years,Physical diseases 219k life years,https://uprightplatform.com/company/cf0f701b-f0f9-4440-bd4d-7cb111cb18a4/DaVita/
HRL,HORMEL FOODS,HORMEL FOODS,Food and Beverage,12058.59,20000.0,-32.0,81.0,-18.8,0.8,-7.2,0.6,-2.3,-0.4,7.2,-8.2,13.7,-1.4,0.3,Physical diseases 78.6k life years,Nutrition 6.10bn bananas,https://uprightplatform.com/company/72d34534-7157-4451-9a8d-dd0cd3510140/Hormel%20Foods/
HLT,HILTON WORLDWIDE,HILTON WORLDWIDE,"Leisure, Sports and Recreation",12039.0,182000.0,-61.0,89.0,-20.6,0.2,-8.9,,-2.8,-1.2,14.2,-6.4,4.1,-2.7,0.7,GHG emissions 2.56M tons of GHG emissions,Taxes 15.2M days of primary education,https://uprightplatform.com/company/6aa08d95-cfbd-43eb-8a63-3b4100fe85f1/Hilton%20Worldwide/
JBHT,J. B. HUNT,J. B. HUNT,Transportation,11999.1,33646.0,-37.0,83.0,-22.5,1.5,-11.1,1.3,-5.1,-0.6,17.4,-2.1,0.8,-2.4,0.4,GHG emissions 3.20M tons of GHG emissions,Societal infrastructure 29.3M long-haul train rides,https://uprightplatform.com/company/09493926-ccfe-4187-8966-658e1556e954/J.%20B.%20Hunt/
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,INTERNATIONAL FLAVORS & FRAGRANCES,Consumer Product Manufacturing,11479.0,22400.0,-7.0,71.0,-12.9,1.4,-5.6,0.7,-2.4,-0.5,7.3,-4.3,9.9,-2.3,0.1,GHG emissions 1.55M tons of GHG emissions,Taxes 7.66M days of primary education,https://uprightplatform.com/company/cdc9d8e2-956f-4ac2-bfb4-940424d5c80a/International%20Flavors%20%26%20Fragrances/
VRTX,VERTEX PHARMACEUTICALS,VERTEX PHARMACEUTICALS,Pharmaceuticals and Biotechnology,11418.8,6100.0,30.0,42.0,-9.7,0.2,-4.1,0.1,-2.0,-1.2,6.7,-5.5,21.8,-3.9,0.0,Physical diseases 49.7k life years,Physical diseases 182k life years,https://uprightplatform.com/company/00cb2302-e758-4d5c-bb09-5a85296a8f59/Vertex%20Pharmaceuticals/
ICE,INTERCONTINENTAL EXCHANGE,INTERCONTINENTAL EXCHANGE,Financial Services,11397.0,12806.0,-0.0,66.0,-2.3,0.2,-1.1,0.1,-0.3,-1.5,6.9,-0.4,0.7,-5.8,2.2,Scarce human capital 10.9k scarce worker years,Taxes 7.29M days of primary education,https://uprightplatform.com/company/8c27f753-7bf0-44fb-9d1b-ae1569a59c9b/Intercontinental%20Exchange/
EXPD,EXPEDITORS,EXPEDITORS,Transportation,11273.14,18400.0,-6.0,70.0,-12.4,0.7,-6.4,0.5,-2.5,-0.1,12.2,-0.5,0.8,-1.9,0.4,GHG emissions 1.74M tons of GHG emissions,Societal infrastructure 16.1M long-haul train rides,https://uprightplatform.com/company/7464c83a-d826-45e0-a4cd-445d63fb4e81/Expeditors/
MOS,THE MOSAIC COMPANY,THE MOSAIC COMPANY,Chemicals,11253.4,10454.0,-32.0,81.0,-23.6,1.6,-10.7,1.3,-4.1,-0.6,8.1,-3.0,12.4,-2.0,0.0,GHG emissions 2.89M tons of GHG emissions,Nutrition 5.55bn bananas,https://uprightplatform.com/company/585f495a-8a3d-475e-9d2b-c839f771de15/The%20Mosaic%20Company/
HSY,HERSHEY,HERSHEY,Food and Beverage,11165.0,18540.0,-133.0,98.0,-15.5,0.4,-4.2,0.3,-2.4,-0.3,5.9,-13.1,6.7,-1.6,0.0,Physical diseases 111k life years,Taxes 6.47M days of primary education,https://uprightplatform.com/company/6660ca94-bf57-4c4a-a947-75e340dc467a/Hershey/
TAP,MOLSON COORS BEVERAGE,MOLSON COORS BEVERAGE,Food and Beverage,11140.8,16200.0,-210.0,100.0,-11.4,0.3,-4.0,0.2,-2.8,-0.4,9.7,-52.6,11.3,-1.8,0.0,Physical diseases 262k life years,Taxes 13.9M days of primary education,https://uprightplatform.com/company/f7ce21cc-bd5a-40f4-901b-43a5e1a3e627/Molson%20Coors%20Beverage/
EBAY,EBAY,EBAY,Consumer Services,11100.0,12300.0,-23.0,78.0,-13.5,1.0,-6.1,0.7,-1.9,-0.6,12.2,-3.4,2.9,-4.6,1.7,GHG emissions 1.62M tons of GHG emissions,Taxes 11.6M days of primary education,https://uprightplatform.com/company/e08e0a1b-40bb-4832-a996-af1a7ee974b4/EBay/
MSI,MOTOROLA SOLUTIONS,MOTOROLA SOLUTIONS,Telecommunications,11094.0,21000.0,51.0,20.0,-6.7,0.4,-3.4,0.2,-0.8,-0.3,16.8,-1.6,2.2,-4.0,6.7,Scarce human capital 7.38k scarce worker years,Taxes 11.9M days of primary education,https://uprightplatform.com/company/8dde8efc-26fc-4934-a3e1-169c0a5eb8f1/Motorola%20Solutions/
WMB,WILLIAMS COMPANIES,WILLIAMS COMPANIES,Energy and Environmental,10907.0,5601.0,-75.0,92.0,-31.9,1.1,-17.9,0.8,-5.2,-2.6,20.1,-2.9,0.4,-2.9,1.3,GHG emissions 4.67M tons of GHG emissions,Societal infrastructure 40.9M long-haul train rides,https://uprightplatform.com/company/edc8b637-e2d0-436e-aefb-14359314ff4d/Williams%20Companies/
CME,CME,CME,Financial Services,10818.4,3760.0,-18.0,76.0,-4.2,0.2,-2.1,0.1,-0.6,-0.6,6.8,-0.9,1.6,-6.1,1.5,Scarce human capital 10.7k scarce worker years,Taxes 6.22M days of primary education,https://uprightplatform.com/company/6363b89a-6c90-4a2e-aef4-f88e6a64530c/CME/
KLAC,KLA,KLA,Computer Hardware,10499.19,15000.0,31.0,41.0,-6.3,0.3,-2.5,0.2,-0.8,-0.1,9.3,-0.6,0.6,-3.2,4.5,Scarce human capital 5.48k scarce worker years,Taxes 9.19M days of primary education,https://uprightplatform.com/company/fb1b6822-f2dc-4356-af3d-7e1df1775b1c/KLA/
DRI,DARDEN RESTAURANTS,DARDEN RESTAURANTS,"Leisure, Sports and Recreation",10487.1,190000.0,-22.0,78.0,-19.2,1.1,-6.8,0.9,-2.8,-0.7,11.4,-8.5,12.1,-1.7,0.0,Physical diseases 71.4k life years,Nutrition 3.39bn bananas,https://uprightplatform.com/company/bc984bcc-304e-4717-8915-5044e29fef23/Darden%20Restaurants/
PEG,PUBLIC SERVICE,PUBLIC SERVICE,Energy and Environmental,10430.0,13047.0,20.0,50.0,-24.0,7.0,-12.8,6.0,-3.7,-1.4,32.4,-2.5,0.4,-4.3,0.3,GHG emissions 3.20M tons of GHG emissions,Societal infrastructure 66.2M long-haul train rides,https://uprightplatform.com/company/602f6505-8eb4-4add-9565-5b3f2cb9218f/Public%20Service/
AMT,AMERICAN TOWER,AMERICAN TOWER,Real Estate,10259.6,4691.0,-30.0,81.0,-12.4,0.4,-4.7,0.3,-1.5,-0.2,9.8,-0.7,0.5,-1.8,0.9,"Biodiversity 2,380,000 square meters of felled forest",Taxes 7.61M days of primary education,https://uprightplatform.com/company/f9d8762a-4bcb-423c-9d0d-63dfe6729e3f/American%20Tower/
STX,SEAGATE TECHNOLOGY,SEAGATE TECHNOLOGY,Computer Hardware,10058.0,30000.0,-0.0,66.0,-7.8,0.2,-3.4,0.2,-1.0,-0.3,7.6,-0.9,0.9,-2.9,3.1,GHG emissions 831k tons of GHG emissions,Taxes 7.87M days of primary education,https://uprightplatform.com/company/f09e43ec-5d2c-45fb-836a-8f56e8d7c502/Seagate%20Technology/
NWSA,NEWS,NEWS,Media,9941.0,22300.0,50.0,21.0,-2.9,0.2,-1.3,0.1,-0.3,-0.2,11.8,-3.5,3.5,-4.0,5.8,Scarce human capital 6.42k scarce worker years,Taxes 10.0M days of primary education,https://uprightplatform.com/company/2d10dc0b-c031-459c-86f6-75694a67d574/News/
NWS,NEWS,NEWS,Media,9941.0,22300.0,50.0,21.0,-2.9,0.2,-1.3,0.1,-0.3,-0.2,11.8,-3.5,3.5,-4.0,5.8,Scarce human capital 6.42k scarce worker years,Taxes 10.0M days of primary education,https://uprightplatform.com/company/2d10dc0b-c031-459c-86f6-75694a67d574/News/
CTAS,CINTAS,CINTAS,Corporate Services,9940.48,46500.0,39.0,33.0,-10.9,1.1,-4.8,0.6,-1.6,-0.7,16.2,-1.7,6.8,-1.8,0.6,GHG emissions 1.15M tons of GHG emissions,Jobs 82.1k direct or indirect jobs,https://uprightplatform.com/company/e274b108-1cfa-49aa-aefc-d2a9c315196f/Cintas/
BIIB,BIOGEN,BIOGEN,Pharmaceuticals and Biotechnology,9890.6,7570.0,44.0,27.0,-6.9,0.1,-2.5,0.1,-1.2,-1.3,11.2,-5.1,18.4,-5.2,3.6,Scarce human capital 8.46k scarce worker years,Physical diseases 122k life years,https://uprightplatform.com/company/ffa8c820-cb79-4ee1-aa82-01e668dadee0/Biogen/
FIS,FIDELITY NATIONAL INFORMATION SERVICES,FIDELITY NATIONAL INFORMATION SERVICES,Financial Services,9821.0,50000.0,34.0,38.0,-2.7,0.1,-1.3,0.1,-0.3,-0.3,10.7,-0.5,1.1,-6.3,2.8,Scarce human capital 10.1k scarce worker years,Taxes 8.20M days of primary education,https://uprightplatform.com/company/6c841aa8-1e0e-4a81-beb5-706c4e38196b/Fidelity%20National%20Information%20Services/
MTB,M&T BANK,M&T BANK,Banks,9690.0,22590.0,20.0,50.0,-3.3,0.1,-1.9,0.1,-0.4,-0.4,10.5,-0.5,1.0,-5.3,0.3,Scarce human capital 8.47k scarce worker years,Societal infrastructure 15.8M long-haul train rides,https://uprightplatform.com/company/06986cf6-1870-437d-a49d-7230571387c9/M%26T%20Bank/
WAB,WABTEC,WABTEC,Transportation,9677.0,29000.0,36.0,36.0,-8.0,3.1,-4.0,2.5,-1.7,-0.1,13.6,-1.3,0.5,-1.7,0.1,GHG emissions 933k tons of GHG emissions,Societal infrastructure 20.9M long-haul train rides,https://uprightplatform.com/company/3be6d4d2-dc09-4f10-9ddc-66b880078b05/Wabtec/
NCLH,NORWEGIAN CRUISE LINE,NORWEGIAN CRUISE LINE,"Leisure, Sports and Recreation",9560.99,36500.0,-54.0,88.0,-17.5,1.5,-9.1,1.0,-3.4,-0.7,10.6,-5.1,4.6,-2.8,0.3,GHG emissions 2.08M tons of GHG emissions,Taxes 9.40M days of primary education,https://uprightplatform.com/company/9ce776cd-81eb-48a0-9b8c-b1cf06f3c5f1/Norwegian%20Cruise%20Line/
STZ,CONSTELLATION BRANDS,CONSTELLATION BRANDS,Food and Beverage,9383.0,10600.0,-233.0,100.0,-10.5,0.4,-3.7,0.3,-2.2,-0.7,9.4,-54.4,10.5,-1.6,0.0,Physical diseases 223k life years,Taxes 11.1M days of primary education,https://uprightplatform.com/company/cab2055f-bb4d-4c7f-b6da-7e0125715a02/Constellation%20Brands/
DGX,QUEST DIAGNOSTICS,QUEST DIAGNOSTICS,Hospitals and Healthcare,9287.0,57000.0,62.0,10.0,-3.8,0.1,-1.3,0.0,-0.5,-0.9,13.7,-1.9,12.5,-5.2,4.9,Scarce human capital 7.99k scarce worker years,Physical diseases 73.3k life years,https://uprightplatform.com/company/b4d283be-3c3c-4c77-9a1a-b470ec7fa463/Quest%20Diagnostics/
ZTS,ZOETIS,ZOETIS,Pharmaceuticals and Biotechnology,9286.0,13800.0,-5.0,69.0,-15.0,1.1,-6.9,0.1,-1.9,-0.5,6.9,-4.3,12.9,-2.2,0.0,GHG emissions 1.54M tons of GHG emissions,Physical diseases 51.5k life years,https://uprightplatform.com/company/116fa2f7-8a22-4c66-8041-380dca7f2974/Zoetis/
EQIX,EQUINIX,EQUINIX,Real Estate,9217.0,13606.0,35.0,37.0,-5.7,0.2,-2.0,0.2,-0.5,-0.2,9.0,-1.0,0.8,-4.5,7.6,Scarce human capital 6.81k scarce worker years,Knowledge infrastructure 3.97M personal computers,https://uprightplatform.com/company/5ba187dc-a09b-4d1b-8cca-4f5bf5f1d741/Equinix/
WTW,WILLIS TOWERS WATSON,WILLIS TOWERS WATSON,Insurance,9202.0,48000.0,24.0,46.0,-2.3,0.2,-1.2,0.1,-0.3,-0.3,7.4,-0.4,0.4,-4.9,2.4,Scarce human capital 7.45k scarce worker years,Taxes 6.34M days of primary education,https://uprightplatform.com/company/b217d61e-a5af-42cb-92c6-5525422ccb8a/Willis%20Towers%20Watson/
CNP,CENTERPOINT ENERGY,CENTERPOINT ENERGY,Energy and Environmental,8836.0,8872.0,11.0,58.0,-24.6,3.4,-14.0,2.8,-3.3,-1.0,30.2,-1.8,0.3,-3.1,0.2,GHG emissions 2.96M tons of GHG emissions,Societal infrastructure 56.3M long-haul train rides,https://uprightplatform.com/company/b47c0ef2-154c-4252-b0cf-c992bf69a612/CenterPoint%20Energy/
BEN,FRANKLIN RESOURCES,FRANKLIN RESOURCES,Financial Services,8770.7,9900.0,4.0,64.0,-2.0,0.2,-0.9,0.1,-0.3,-0.6,5.7,-0.4,1.6,-6.3,2.2,Scarce human capital 9.15k scarce worker years,Taxes 3.39M days of primary education,https://uprightplatform.com/company/aff1e0af-db6e-4142-a2ef-2bdb04015472/Franklin%20Resources/
FITB,FIFTH THIRD BANK,FIFTH THIRD BANK,Banks,8710.0,18724.0,12.0,57.0,-4.4,0.2,-2.4,0.2,-0.6,-0.4,10.5,-0.9,1.4,-5.5,0.7,Scarce human capital 7.88k scarce worker years,Societal infrastructure 11.6M long-haul train rides,https://uprightplatform.com/company/2f837249-9e74-4636-abdf-4c520dbcf570/Fifth%20Third%20Bank/
ROK,ROCKWELL AUTOMATION,ROCKWELL AUTOMATION,Electronics,8566.0,26000.0,29.0,42.0,-7.4,1.6,-3.5,1.2,-1.1,-0.2,12.2,-0.9,1.2,-4.4,3.2,Scarce human capital 6.16k scarce worker years,Taxes 8.20M days of primary education,https://uprightplatform.com/company/083ee122-8aa0-4888-b0bc-76caba256085/Rockwell%20Automation/
SJM,J.M. SMUCKER,J.M. SMUCKER,Food and Beverage,8529.2,8000.0,-29.0,80.0,-15.4,1.4,-5.1,1.0,-2.3,-0.2,8.5,-5.3,7.2,-1.3,0.0,GHG emissions 1.05M tons of GHG emissions,Jobs 48.1k direct or indirect jobs,https://uprightplatform.com/company/c9379651-dc8e-4a48-943e-2421da3c8a41/J.M.%20Smucker/
PLD,PROLOGIS,PROLOGIS,Real Estate,8201.61,2703.0,5.0,63.0,-8.6,1.2,-4.1,0.9,-1.4,-0.3,11.2,-0.9,0.8,-2.9,0.2,GHG emissions 800k tons of GHG emissions,Taxes 8.28M days of primary education,https://uprightplatform.com/company/e3d46eb5-3cec-482b-9024-6e55950393df/Prologis/
YUM,YUM! BRANDS,YUM! BRANDS,"Leisure, Sports and Recreation",7908.0,35000.0,-47.0,87.0,-15.5,0.6,-5.8,0.5,-2.1,-0.5,10.1,-6.8,6.2,-2.1,0.0,Physical diseases 41.2k life years,Taxes 6.50M days of primary education,https://uprightplatform.com/company/94e84944-3d9c-47be-997c-48819e1f8769/Yum!%20Brands/
RL,RALPH LAUREN,RALPH LAUREN,Consumer Product Manufacturing,7833.1,15000.0,-40.0,84.0,-14.8,1.4,-6.2,0.9,-1.7,-1.4,8.9,-1.6,3.7,-1.7,0.0,GHG emissions 1.16M tons of GHG emissions,Jobs 43.2k direct or indirect jobs,https://uprightplatform.com/company/6610d979-4465-449b-ba8f-a8be97491b88/Ralph%20Lauren/
DOV,DOVER,DOVER,Industrial Manufacturing and Services,7829.06,24000.0,8.0,61.0,-12.3,2.1,-6.5,1.3,-1.9,-0.5,14.2,-1.4,0.6,-2.6,1.3,GHG emissions 1.21M tons of GHG emissions,Societal infrastructure 14.9M long-haul train rides,https://uprightplatform.com/company/430e4797-d74b-481c-8f58-1bf6ce47d336/Dover/
XYL,XYLEM,XYLEM,Real Estate,7400.0,23000.0,48.0,23.0,-10.2,4.1,-5.4,1.3,-1.8,-0.2,21.0,-1.6,1.9,-2.3,0.8,GHG emissions 963k tons of GHG emissions,Societal infrastructure 22.8M long-haul train rides,https://uprightplatform.com/company/228a547f-eaa3-4523-ad43-404f48200e58/Xylem/
ZBH,ZIMMER BIOMET,ZIMMER BIOMET,Hospitals and Healthcare,7394.0,17000.0,46.0,25.0,-6.3,0.1,-3.1,0.1,-0.5,-0.4,9.5,-2.7,12.3,-2.6,0.1,GHG emissions 555k tons of GHG emissions,Physical diseases 52.8k life years,https://uprightplatform.com/company/874d740e-6386-4edd-b32a-8bec8ad7731e/Zimmer%20Biomet/
RF,REGIONS FINANCIAL,REGIONS FINANCIAL,Banks,7294.0,19642.0,18.0,52.0,-3.0,0.1,-1.6,0.1,-0.4,-0.3,9.3,-0.3,0.6,-5.0,0.4,Scarce human capital 6.01k scarce worker years,Societal infrastructure 10.0M long-haul train rides,https://uprightplatform.com/company/598133e3-c05d-4278-a188-1553600d4142/Regions%20Financial/
ADSK,AUTODESK,AUTODESK,Computer Software,7206.0,14300.0,47.0,24.0,-4.1,0.4,-1.9,0.3,-0.5,-0.2,11.6,-0.6,0.8,-4.9,5.5,Scarce human capital 5.81k scarce worker years,Taxes 7.16M days of primary education,https://uprightplatform.com/company/a9c59a4c-a00d-4d92-b9e9-8de14a519c16/Autodesk/
BR,BROADRIDGE FINANCIAL SOLUTIONS,BROADRIDGE FINANCIAL SOLUTIONS,Computer Software,7055.7,14700.0,51.0,20.0,-2.1,0.2,-1.0,0.1,-0.3,-0.1,12.5,-0.4,0.7,-6.0,4.3,Scarce human capital 7.00k scarce worker years,Taxes 7.57M days of primary education,https://uprightplatform.com/company/7ae9fa5d-224c-4d54-ae45-97d05c178d3e/Broadridge%20Financial%20Solutions/
WY,WEYERHAEUSER,WEYERHAEUSER,Construction and Building Materials,7036.0,9440.0,-14.0,74.0,-12.8,3.6,-5.2,3.1,-1.6,-0.8,8.8,-1.4,1.9,-1.8,0.4,GHG emissions 880k tons of GHG emissions,Taxes 4.30M days of primary education,https://uprightplatform.com/company/30818d5d-cf90-43d3-90df-d38199a68418/Weyerhaeuser/
TPR,TAPESTRY,TAPESTRY,Consumer Product Manufacturing,7010.7,12500.0,-92.0,94.0,-17.8,1.3,-8.4,0.7,-1.7,-2.1,7.8,-1.4,2.6,-1.2,0.0,GHG emissions 1.41M tons of GHG emissions,Jobs 34.5k direct or indirect jobs,https://uprightplatform.com/company/2c16d125-9823-4d58-be70-d3c8c540e509/Tapestry/
A,AGILENT TECHNOLOGIES,AGILENT TECHNOLOGIES,Hospitals and Healthcare,6788.0,18000.0,47.0,24.0,-6.8,0.4,-3.1,0.2,-1.0,-0.5,10.8,-1.0,7.5,-3.5,3.6,Scarce human capital 3.85k scarce worker years,Physical diseases 34.2k life years,https://uprightplatform.com/company/e271a67f-955a-4917-b6c1-0ff3040e0cbf/Agilent%20Technologies/
CF,CF INDUSTRIES,CF INDUSTRIES,Chemicals,6736.0,2800.0,-46.0,86.0,-23.0,1.2,-11.5,0.9,-3.8,-0.5,5.9,-3.4,12.8,-2.0,0.0,GHG emissions 1.87M tons of GHG emissions,Nutrition 3.45bn bananas,https://uprightplatform.com/company/831fefe9-8df0-412b-82dd-e5e2bccc938b/CF%20Industries/
MKC,MCCORMICK,MCCORMICK,Food and Beverage,6662.2,13800.0,14.0,55.0,-12.5,0.5,-4.8,0.3,-2.7,-0.2,6.8,-4.6,14.7,-1.5,0.0,GHG emissions 764k tons of GHG emissions,Nutrition 3.05bn bananas,https://uprightplatform.com/company/d44f2083-866a-49bb-9b3a-d50f69b0d68c/McCormick/
WELL,WELLTOWER,WELLTOWER,Real Estate,6569.28,533.0,61.0,12.0,-7.7,1.3,-3.7,0.9,-0.8,-0.6,22.9,-1.5,6.7,-2.3,0.0,GHG emissions 578k tons of GHG emissions,Societal infrastructure 15.2M long-haul train rides,https://uprightplatform.com/company/b9c97c5b-2b1d-444b-ac93-549176ea36a6/Welltower/
NDAQ,NASDAQ,NASDAQ,Financial Services,6564.0,9492.0,23.0,48.0,-1.6,0.1,-0.7,0.1,-0.2,-0.6,6.0,-0.3,1.1,-6.2,3.9,Scarce human capital 6.70k scarce worker years,Taxes 3.59M days of primary education,https://uprightplatform.com/company/ad8d405a-80cc-41b2-b6c1-e3f9a3c279cd/Nasdaq/
TROW,T. ROWE PRICE,T. ROWE PRICE,Financial Services,6460.5,8158.0,-35.0,82.0,-1.5,0.2,-0.6,0.2,-0.2,-1.1,5.3,-0.2,0.8,-9.5,2.9,Scarce human capital 10.1k scarce worker years,Taxes 3.45M days of primary education,https://uprightplatform.com/company/077850ba-b1be-4bdb-b788-51a24a5316e5/T.%20Rowe%20Price/
ON,ON SEMICONDUCTOR,ON SEMICONDUCTOR,Computer Hardware,6398.8,26400.0,12.0,57.0,-7.7,0.8,-3.4,0.5,-1.0,-0.3,9.3,-1.2,1.0,-3.0,2.8,GHG emissions 516k tons of GHG emissions,Taxes 5.16M days of primary education,https://uprightplatform.com/company/4f44c6e6-ac68-40d1-ac2c-5d1d22932f7d/On%20Semiconductor/
IVZ,INVESCO,INVESCO,Financial Services,6377.1,7499.0,5.0,63.0,-2.6,0.4,-1.2,0.2,-0.4,-0.5,6.8,-0.5,1.2,-5.0,0.6,Scarce human capital 5.28k scarce worker years,Societal infrastructure 6.17M long-haul train rides,https://uprightplatform.com/company/34ebed8e-0bab-4881-afe8-75331e28ba4f/Invesco/
SPG,SIMON PROPERTY,SIMON PROPERTY,Real Estate,6364.5,2400.0,6.0,62.0,-10.5,0.4,-5.5,0.3,-2.1,-0.2,14.6,-1.4,1.1,-3.1,0.2,GHG emissions 833k tons of GHG emissions,Jobs 44.7k direct or indirect jobs,https://uprightplatform.com/company/8aa6a9a2-657e-4674-95a3-d7854ed7329f/Simon%20Property/
FTV,FORTIVE,FORTIVE,Industrial Manufacturing and Services,6195.2,18000.0,32.0,40.0,-6.8,0.8,-3.1,0.5,-1.1,-0.4,10.3,-1.2,3.3,-3.5,3.1,Scarce human capital 3.53k scarce worker years,Taxes 5.47M days of primary education,https://uprightplatform.com/company/b6db51ca-cf28-4d52-951c-ec7a7a278664/Fortive/
IRM,IRON MOUNTAIN,IRON MOUNTAIN,Corporate Services,5988.46,27000.0,45.0,26.0,-6.9,2.0,-3.2,1.5,-0.8,-0.3,15.8,-0.8,1.1,-3.3,1.6,Scarce human capital 3.20k scarce worker years,Jobs 52.6k direct or indirect jobs,https://uprightplatform.com/company/71cd85f6-eb95-4f64-bd53-13503de00f48/Iron%20Mountain/
MCO,MOODY'S,MOODY'S,Financial Services,5916.0,15913.0,29.0,42.0,-3.5,0.4,-1.8,0.2,-0.5,-0.6,8.4,-1.2,1.4,-5.4,5.2,Scarce human capital 5.28k scarce worker years,Taxes 3.89M days of primary education,https://uprightplatform.com/company/897349b3-a402-4509-bf93-60f827af6d98/Moody's/
EW,EDWARDS LIFESCIENCES,EDWARDS LIFESCIENCES,Hospitals and Healthcare,5883.8,15800.0,53.0,18.0,-3.6,0.2,-1.5,0.1,-0.4,-0.3,9.4,-3.5,11.9,-2.6,0.0,Physical diseases 16.3k life years,Physical diseases 41.0k life years,https://uprightplatform.com/company/4b1d8ade-fba7-47e5-9309-fd76a074c260/Edwards%20Lifesciences/
ANET,ARISTA NETWORKS,ARISTA NETWORKS,Computer Hardware,5860.17,4412.0,46.0,25.0,-4.7,0.4,-2.2,0.3,-0.6,-0.2,11.8,-1.4,1.2,-5.0,7.8,Scarce human capital 4.86k scarce worker years,Taxes 6.21M days of primary education,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
EQT,EQT CORPORATION,EQT CORPORATION,Energy and Environmental,5660.12,1461.0,-84.0,93.0,-33.2,0.9,-18.8,0.7,-5.0,-3.2,21.3,-3.1,0.2,-2.2,0.1,GHG emissions 2.55M tons of GHG emissions,Societal infrastructure 24.9M long-haul train rides,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
PAYX,PAYCHEX,PAYCHEX,Financial Services,5571.7,19000.0,35.0,36.0,-2.7,0.2,-1.4,0.1,-0.3,-0.3,10.4,-0.8,1.6,-5.5,2.0,Scarce human capital 4.99k scarce worker years,Taxes 4.71M days of primary education,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
GL,GLOBE LIFE AND ACCIDENT INSURANCE,GLOBE LIFE AND ACCIDENT INSURANCE,Insurance,5542.35,3636.0,14.0,55.0,-1.4,0.1,-0.7,0.1,-0.2,-1.4,6.4,-0.3,2.6,-5.1,0.3,Scarce human capital 4.62k scarce worker years,Societal infrastructure 4.34M long-haul train rides,https://uprightplatform.com/company/e2b0b6aa-56f2-46c3-9f83-4096d1c94302/Globe%20Life%20And%20Accident%20Insurance/
HST,HOST HOTELS & RESORTS,HOST HOTELS & RESORTS,Real Estate,5524.0,163.0,-50.0,87.0,-20.5,0.2,-8.8,,-2.7,-0.7,13.9,-2.6,3.6,-2.7,0.0,GHG emissions 1.17M tons of GHG emissions,Taxes 6.55M days of primary education,https://uprightplatform.com/company/9f0d6b15-f04d-4eb9-8662-f8a04bf55a0e/Host%20Hotels%20%26%20Resorts/
DLR,DIGITAL REALTY,DIGITAL REALTY,Real Estate,5477.06,3936.0,45.0,26.0,-5.8,2.1,-2.8,1.8,-0.5,-0.2,11.7,-1.2,1.0,-6.0,9.1,Scarce human capital 5.37k scarce worker years,Taxes 6.21M days of primary education,https://uprightplatform.com/company/4d84cfbd-fedc-40dc-a76e-1017a1f96a35/Digital%20Realty/
ZBRA,ZEBRA TECHNOLOGIES,ZEBRA TECHNOLOGIES,Computer Hardware,5396.0,10700.0,18.0,52.0,-7.9,0.8,-3.8,0.5,-1.0,-0.4,9.9,-1.5,1.3,-3.3,3.9,GHG emissions 497k tons of GHG emissions,Taxes 4.50M days of primary education,https://uprightplatform.com/company/50bcace4-b5be-46d6-b5be-8af4447669fd/Zebra%20Technologies/
